name,alt_name,company,state,municipality,fuel_bucket,technology,capacity_mw,commission_year,closure_year,lat,lon
Werkskraftwerk Sappi Alfeld,,Sappi Alfeld GmbH,Niedersachsen,Alfeld,natural_gas,Steam turbine,11.0,1947.0,,51.98513,9.82246
Heizkraftwerk Altbach/Deizisau,"Altbach/Deizisau GT A-C, E",EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Altbach,natural_gas,Gas turbine,50.0,1971.0,,48.717611,9.374917
Heizkraftwerk Altbach/Deizisau,"Altbach/Deizisau GT A-C, E",EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Altbach,natural_gas,Gas turbine,57.0,1973.0,,48.717611,9.374917
Heizkraftwerk Altbach/Deizisau,"Altbach/Deizisau GT A-C, E",EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Altbach,natural_gas,Gas turbine,81.0,1975.0,,48.717611,9.374917
HKW Kassel,,Volkswagen AG,Hessen,Baunatal,natural_gas,Steam turbine,12.2,,2013.0,51.25883,9.43341
Charlottenburg,,Vattenfall Wärme Berlin AG,Berlin,Berlin,natural_gas,Steam turbine,144.0,1975.0,,52.52185624,13.31109524
Lichterfelde,,Vattenfall Wärme Berlin AG,Berlin,Berlin,natural_gas,Steam turbine,144.0,1972.0,2019.0,52.42520804,13.30976486
Lichterfelde,,Vattenfall Wärme Berlin AG,Berlin,Berlin,natural_gas,Steam turbine,144.0,1974.0,2018.0,52.42520804,13.30976486
Lichterfelde,,Vattenfall Europe Wärme AG,Berlin,Berlin,natural_gas,Steam turbine,144.0,,2016.0,52.42520804,13.30976486
Klingenberg,Berlin-Klingenberg,Vattenfall Wärme Berlin AG,Berlin,Berlin,natural_gas,Steam turbine,164.0,1981.0,,52.48891639,13.49696159
HKW Schildescher Straße,,Stadtwerke Bielefeld GmbH,Nordrhein-Westfalen,Bielefeld,natural_gas,Steam turbine,23.0,1977.0,,52.033503,8.539061
Gasturbinenkraftwerk Bielefeld Ummeln,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Bielefeld,natural_gas,Gas turbine,55.0,1975.0,2015.0,51.98396,8.45139
HKW Schildescher Straße,,Stadtwerke Bielefeld GmbH,Nordrhein-Westfalen,Bielefeld,natural_gas,Steam turbine,41.0,1966.0,,52.033503,8.539061
Heizkraftwerk Süd,,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,Nordrhein-Westfalen,Bonn,natural_gas,Steam turbine,14.4,,2012.0,50.73382,7.08055
HKW-Mitte,Braunschweig-Mitte,Braunschweiger Versorgungs-AG & Co. KG,Niedersachsen,Braunschweig,natural_gas,Combined cycle,20.0,1971.0,,52.278611,10.514722
HKW-Nord,,Braunschweiger Versorgungs-AG & Co. KG,Niedersachsen,Braunschweig,natural_gas,Gas turbine,25.0,1965.0,,52.278611,10.514722
KW Hastedt,,swb Erzeugung GmbH & Co. KG,Bremen,Bremen,natural_gas,Steam turbine,155.0,,2016.0,53.060080000000006,8.873280000000001
Burghausen 01 - DT,,Wacker Chemie AG,Bayern,Burghausen,natural_gas,Steam turbine,50.0,1979.0,,48.186212,12.845768
HKW Chemnitz  Nord II,,eins - energie in sachsen GmbH & Co. KG,Sachsen,Chemnitz,natural_gas,Steam turbine,57.2,1986.0,,50.856981,12.923096
GT,,Stadtwerke Düsseldorf AG,Nordrhein-Westfalen,Düsseldorf,natural_gas,Gas turbine,64.7,1975.0,,51.22116,6.73193
GT,,Stadtwerke Düsseldorf AG,Nordrhein-Westfalen,Düsseldorf,natural_gas,Gas turbine,66.7,1974.0,,51.22116,6.73193
Gasblock,,Stadtwerke Düsseldorf AG,Nordrhein-Westfalen,Düsseldorf,natural_gas,Steam turbine,293.0,1977.0,2019.0,51.22138,6.731310000000001
